Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Голик,Богданна,Сергіївна,жіноча,2005-12-09,Агроном,село Пирятин,"набережна Віри Холодної, буд. 2, Чистякове, 87098",+380 17 232-85-38,zynoviihohol@example.org
Охримович,Любов,Петрівна,жіноча,1942-12-06,Адвокат,село Очаків,"вулиця Лінійна, буд. 60 кв. 845, Єнакієве, 39393",033 962-03-74,halyna21@example.org
Тиха,Віталій,Дмитрович,чоловіча,1997-03-26,Секретар,хутір Інкерман,"набережна Тінистий, буд. 225, Вишгород, 65907",+380 35 456-50-12,andriiovychihnat@example.com
Пʼятаченко,Тереза,Павлівна,жіноча,1998-05-31,Водій,селище Шаргород,"площа Балківська, буд. 0, Золоте, 63783",644-52-25,panas74@example.net
Безбородько,Амвросій,Ігоревич,чоловіча,1949-09-06,Журналіст,село Таврійськ,"проспект Кривобалківська, буд. 3, Пирятин, 69508",638 74 86,ostap63@example.net
Івасюк,Георгій,Васильович,чоловіча,2008-02-07,Біолог,місто Полонне,"проспект Лінія 24-та, буд. 20 кв. 21, Рогатин, 49165",020 414-54-93,konoplenkostefan@example.com
Михайлюк,Марта,Максимівна,жіноча,1985-11-19,Літературознавець,місто Хуст,"вулиця Бокаріуса Миколи, буд. 01 кв. 31, Болград, 60966",063 618 69 32,jsemenchenko@example.org
Данилюк,Тереза,Артемівна,жіноча,1975-04-02,Гірник,село Ямпіль,"площа Пересипська 4-та, буд. 9 кв. 15, Святогірськ, 51435",058 353 39 07,danartym@example.org
Юхименко,Євген,Леонідович,чоловіча,2004-05-23,Правник,селище Городок,"провулок Конструкторський, буд. 03, Самбір, 10855",939-73-73,liubov81@example.org
Ващук,Марко,Олександрович,чоловіча,1996-04-03,Геолог,селище Мелітополь,"набережна Райдужна, буд. 71 кв. 8, Миколаїв, 28938",+380 23 012-61-59,anzhela90@example.net
Канівець,Ярослав,Романович,чоловіча,1976-09-09,Няня,місто Сніжне,"проспект Теліги Олени, буд. 3, Харків, 43941",+380 33 394-33-84,hverkhola@example.com
Ващенко,Зиновій,Павлович,чоловіча,1996-05-02,Соціолог,селище Заліщики,"набережна Гагарінське плато, буд. 8, Вараш, 04687",186-88-48,davydiashchenko@example.net
Кальченко,Орися,Павлівна,жіноча,1965-02-15,Випробувач,селище Здолбунів,"узвіз Нафтовиків, буд. 8 кв. 70, Зеленодольськ, 85447",+380 70 556-24-98,vasylechkoanton@example.org
Шеремет,Левко,Геннадійович,чоловіча,1960-02-09,Кінолог,селище Глобине,"площа Онезька, буд. 70 кв. 606, Торецьк, 46616",+380 21 162-70-52,knazarenko@example.net
Чумак,Пантелеймон,Павлович,чоловіча,1941-09-14,Штукатур,селище Снятин,"сквер Трамвайний, буд. 23 кв. 467, Луганськ, 22004",+380 07 211-99-73,iustym74@example.net
Ющенко,Надія,Федорівна,жіноча,1946-12-17,Правник,селище Джанкой,"провулок Гранатний, буд. 143, Горішні Плавні, 99609",899 79 90,klymentzakharenko@example.com
Дробʼязко,Зорян,Федорович,чоловіча,1959-02-17,Петрограф,місто Ізюм,"площа Умова, буд. 03, Бершадь, 21885",+380 20 192-52-42,jromanchuk@example.org
Бабич,Мирон,Сергійович,чоловіча,1976-02-03,Кінорежисер,місто Золочів,"площа Аркадіївський, буд. 83, Глиняни, 79240",036 893-19-82,mariana29@example.org
Чабан,Ігнат,Романович,чоловіча,2003-02-25,Психолог,село Миколаївка ,"шосе Харківська, буд. 79 кв. 233, Болград, 62433",+380 58 811 40 52,serhiishelest@example.com
Єщенко,Трохим,Ігоревич,чоловіча,1994-11-23,Електрослюсар,село Бібрка,"шосе Маршала Говорова, буд. 6, Миколаїв, 65937",334-31-53,rostyslavprotsenko@example.net
Лисенко,Леопольд,Юрійович,чоловіча,2007-01-06,Продюсер,місто Нове Давидково,"узвіз Нова, буд. 947 кв. 83, Люботин, 39846",040 982 82 29,iakymenkoklyment@example.org
Щорс,Олесь,Павлович,чоловіча,2006-12-11,Провізор,селище Виноградів,"провулок Шевченка, буд. 422, Привілля, 95140",007 360 43 91,bohdancharnysh@example.com
Масоха,Пріска,Олегівна,жіноча,1963-04-16,Патологоанатом,місто Копичинці,"узвіз Санітарна, буд. 483 кв. 543, Моршин, 09598",+380 28 120-41-08,arkhymovychroksolana@example.com
Гавришкевич,Ліза,Геннадіївна,жіноча,1982-04-13,Слідчий,місто Жашків,"провулок Дачна, буд. 9 кв. 170, Саки , 29624",578 81 60,bazavluchenkoroksolana@example.net
Дейнеко,Богодар,Олександрович,чоловіча,1977-12-12,Музичний редактор,село Угнів,"узвіз 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 3, Географія Вільнянська, 48604",280 06 72,demianiukiukhym@example.net
Данченко,Зорян,Андрійович,чоловіча,1998-06-08,Фрілансер,село Копичинці,"парк Жуковського, буд. 9 кв. 455, Миронівка, 25473",+380 61 779-05-35,vyshniakstepan@example.net
Масляк,Василина,Василівна,жіноча,1945-03-21,Дерун,село Тернівка ,"проспект Лінія 55-та, буд. 2 кв. 84, Кипуче, 90814",+380 94 198 02 31,sprykhodko@example.com
Юрченко,Ярослава,Артемівна,жіноча,1986-10-28,Сценарист,селище Заставна,"провулок Таїрова, буд. 303, Тульчин, 78965",+380 72 265-76-63,yzabila@example.com
Калениченко,Амвросій,Миколайович,чоловіча,1957-11-14,Каскадер,село Марганець ,"площа Високий, буд. 56 кв. 6, Українськ, 42589",+380 16 165-31-33,ielysavetabezborodko@example.com
Фаренюк,Миколай,Олександрович,чоловіча,1966-10-13,Клавішник,село Івано-Франківськ,"узвіз Котляревського, буд. 77, Одеса, 50674",+380 89 900 10 66,korzhvolodymyra@example.com
Тесля,Єва,Михайлівна,жіноча,2005-08-23,Лікар,місто Новомосковськ,"набережна Магістральна, буд. 4 кв. 3, Долинська, 75168",+380 (93) 149-05-14,iustym33@example.net
Василечко,Аврелій,Андрійович,чоловіча,1963-05-10,Кур'єр,селище Тиврів,"вулиця Лінія 37-ма, буд. 348, Мукачево, 89662",149-43-10,valentyna21@example.net
Харченко,Олекса,Леонідович,чоловіча,2001-08-27,Агроном,хутір Львів,"парк Петра Лещенка, буд. 0, Дунаївці, 62025",+380 96 046-51-84,orkhyp51@example.net
Щириця,Франц,Дмитрович,чоловіча,1997-01-06,Кухар,селище Монастириська,"площа Ковалевського, буд. 764 кв. 6, Кодима, 83515",+380 (77) 464-13-68,dzhunlevko@example.net
Стельмах,Охрім,Артемович,чоловіча,1972-08-24,Мовознавець,село Балаклія,"парк Лузанівський 2-й, буд. 7 кв. 06, Ромни, 22029",005 441 74 71,panchukmyron@example.net
Іванченко,Соломія,Геннадіївна,жіноча,1998-10-13,Пекар,хутір Радехів,"сквер 19-та Лінія, буд. 66 кв. 8, Чорнобиль, 21773",398-78-21,iustym53@example.com
Засядько,Оксенія,Василівна,жіноча,2006-08-30,Музикант,хутір Шостка,"проспект 2-га Лінія Марії Демченко, буд. 23, Богуслав, 18313",035 239-62-16,kmasokha@example.org
Василашко,Остап,Геннадійович,чоловіча,1948-08-01,Електрик,селище Жмеринка,"парк Чорноморський 6-й, буд. 47, Борщів, 14050",+380 (20) 104-71-00,kadeniukhlib@example.com
Базавлученко,Данна,Максимівна,жіноча,1969-05-13,Графік,селище Старобільськ,"набережна Лїнія 1-ша, буд. 86, Лутугине, 02229",+380 77 767 04 90,boryskhrystenko@example.org
Вахній,Соломія,Андріївна,жіноча,1943-01-13,Патологоанатом,хутір Токмак,"сквер Кільовий, буд. 82 кв. 9, Бережани, 12321",+380 57 232 41 10,panas65@example.com
Ванченко,Петро,Ігоревич,чоловіча,1939-04-22,Кінолог,селище Балта,"провулок Строганов міст, буд. 41, Стрий, 28150",+380 11 762-19-26,ielysei92@example.net
Черненко,Тимофій,Ігоревич,чоловіча,1976-08-17,Флорист,село Кам'янка-Дніпровська,"площа Педагогічний, буд. 6, Кілія, 38762",+380 05 920-24-41,llesyk@example.org
Усик,Олена,Миколаївна,жіноча,1944-06-10,Палеонтолог,хутір Липовець,"сквер Аеропортівський 3-й, буд. 055 кв. 39, Мелітополь, 73102",+380 (97) 821-40-34,gchumak@example.org
Шахрай,Леон,Павлович,чоловіча,2005-09-24,Реабілітолог,місто Гірник ,"парк Мічуріна, буд. 231, Копичинці, 31881",001 073 57 04,qskyba@example.net
Кибкало,Ольга,Максимівна,жіноча,1987-12-26,Редактор,хутір Вугледар,"площа Соляний 7-й, буд. 82, Новоукраїнка, 97369",+380 (04) 155-97-63,semen53@example.com
Акуленко,Михайлина,Артемівна,жіноча,2007-08-07,Кінолог,село Тальне,"узвіз Лиманний, буд. 33, Лисичанськ, 73435",018 183-00-43,arsen92@example.org
Акуленко,Ольга,Миколаївна,жіноча,1987-04-03,Скульптор,місто Соснівка ,"провулок Бокаріуса Миколи, буд. 772, Чорноморськ, 24034",996 90 02,violetta97@example.com
Козаченко,Орхип,Петрович,чоловіча,1989-08-03,Драматург,село Зеленодольськ,"вулиця Остапа Вишні, буд. 82, Кальміуське, 49777",925 78 04,irynaavramenko@example.com
Корсун,Лукʼян,Олегович,чоловіча,1971-11-28,Астронавт,село Ходорів,"провулок Івасюка Володимира, буд. 5, Українськ, 66670",053 681 67 69,mokhrimenko@example.net
Петрик,Орест,Юрійович,чоловіча,1950-01-03,Гінеколог,село Карлівка,"шосе Добровольського, буд. 6, Свалява, 84899",027 839-74-47,fesenkoliudmyla@example.com
Безбородько,Симон,Дмитрович,чоловіча,1979-12-31,Мірошник,село Обухів,"вулиця Лузанівська, буд. 569, Боярка, 74491",157-73-99,dubynateodor@example.com
Мамчур,Яків,Михайлович,чоловіча,2008-05-30,Ґрунтознавець,хутір Слов'янськ,"сквер Соціальна, буд. 1 кв. 65, Радивилів, 92373",095 878-52-21,rbabiak@example.com
Масоха,Артем,Леонідович,чоловіча,1984-10-04,Дантист,селище Щастя ,"сквер Любашівський, буд. 7 кв. 6, Хмельницький, 29901",+380 46 950-56-76,wilchenko@example.org
Бандурка,Тетяна,Романівна,жіноча,2006-09-08,Єгер,селище Сторожинець,"шосе Горизонтальна, буд. 36, Шаргород, 13574",+380 49 435 55 54,lizashakhrai@example.com
Ковалюк,Ігор,Вікторович,чоловіча,1955-11-07,Актор,селище Коростень,"шосе Отамана Чепіги, буд. 07, Феодосія, 70301",+380 22 663-81-18,onysymfastenko@example.com
Гупало,Варвара,Вікторівна,жіноча,1977-11-18,Кухар,село Білицьке,"проспект Миколи Гефта, буд. 6, Щастя , 90615",277-22-41,svitlanadubenko@example.net
Бабич,Феофан,Вікторович,чоловіча,1970-02-23,Зоолог,село Тиврів,"узвіз Лузанівська, буд. 678, Моспине, 43933",082 127-45-48,oleksandrsuprunenko@example.org
Бабенко,Марія,Артемівна,жіноча,1963-01-05,Математик,хутір Борщів,"парк Новобазарний, буд. 305 кв. 04, Косів, 10173",+380 (40) 030-16-00,ielysavetatkachenko@example.com
Демиденко,Теодор,Федорович,чоловіча,1978-04-14,Професор,селище Іловайськ,"провулок Восьмого березня 8-й, буд. 0, Острог, 15010",448 56 74,arsen05@example.com
Тиха,Азар,Федорович,чоловіча,2007-07-04,Реставратор,село Гайворон,"площа Супутників, буд. 862 кв. 87, Скалат, 05077",070 963 92 28,amvrosiihres@example.org
Абрагамовський,Камілла,Василівна,жіноча,1971-07-09,Психолог,селище Тростянець,"набережна Естонська, буд. 6, Рахів, 94154",+380 63 967 31 10,maksymbezborodko@example.net
Гуцуляк,Амалія,Андріївна,жіноча,2005-09-05,Ґрунтознавець,селище Шепетівка,"узвіз Ползунова 2-й, буд. 5 кв. 91, Кривий Ріг, 71767",+380 52 900 79 39,havrylodubyna@example.org
Шведченко,Ярема,Юрійович,чоловіча,1999-08-29,Детектив,село Чугуїв,"провулок Цимлянська, буд. 68, Гнівань, 23387",000 174 34 80,mariiazaika@example.com
Артеменко,Артем,Петрович,чоловіча,1963-01-07,Євнух,селище Петрово-Красносілля,"провулок Семінарська, буд. 6 кв. 5, Калинівка , 10414",+380 38 002-16-58,stetsamaliia@example.org
Тарасенко,Єфрем,Павлович,чоловіча,1969-11-18,Публіцист,місто Рахів,"площа Відважних, буд. 7, Заліщики, 30465",+380 (05) 172-05-13,mykolaibabarychenko@example.net
Рак,Владислав,Миколайович,чоловіча,1939-01-29,Мінералог,хутір Снігурівка,"набережна Тульська, буд. 40, Зоринськ, 81481",+380 46 019-32-07,anzhelazabila@example.com
Павлик,Данило,Федорович,чоловіча,1951-07-02,Машиніст,селище Чуднів,"проспект Ялинкова, буд. 609, Кіцмань, 19955",132 22 17,ustym24@example.com
Перепелиця,Яків,Олександрович,чоловіча,1981-05-12,Мовознавець,село Волочиськ,"проспект Артилерійська, буд. 57 кв. 281, Теребовля, 61954",298 38 08,anita92@example.com
Дробаха,Мілена,Олександрівна,жіноча,1962-10-02,Провізор,місто Ясинувата,"парк Матюшенка, буд. 3, Антрацит , 47982",003 845-78-98,darynachmil@example.com
Франко,Єва,Олександрівна,жіноча,1976-05-25,Футболіст,селище Нетішин,"проспект Сливова, буд. 474 кв. 8, Ланівці, 17286",506 97 56,ievhen97@example.org
Кабаненко,Пармен,Дмитрович,чоловіча,1956-04-07,Правник,місто Заставна,"сквер Аеропортівська, буд. 81, Коростишів, 47621",+380 79 978-30-14,leontiiiatseniuk@example.com
Павлик,Максим,Олегович,чоловіча,1967-11-07,Єгер,селище Докучаєвськ,"площа Аеродромний 2-й, буд. 817 кв. 90, Чигирин, 82783",+380 77 260-83-50,priska10@example.org
Вертипорох,Марія,Іванівна,жіноча,2006-06-09,Парфюмер,хутір Гола Пристань,"шосе Матроський узвіз, буд. 744, Стебник, 51117",773-21-93,npetryk@example.org
Франчук,Борислав,Леонідович,чоловіча,2005-02-27,Візажист,селище Соснівка ,"сквер Проектний 5-й, буд. 67 кв. 38, Брянка, 68893",254 84 49,serhiiizhak@example.com
Безбородько,Демид,Миколайович,чоловіча,1955-06-09,Географ,місто Чорнобиль,"шосе Ризька, буд. 4 кв. 85, Олександрія, 27227",046 373 23 98,dankoklyment@example.net
Вишняк,Роксолана,Юріївна,жіноча,1973-03-22,Педагог,місто Хмільник,"набережна Траса Здоров'я, буд. 15, Сторожинець, 38802",+380 61 217 29 73,iukhym80@example.org
Пушкар,Лілія,Іванівна,жіноча,1947-01-03,Бухгалтер,селище Вугледар,"парк Овідіопольська, буд. 9, Ужгород, 60314",+380 45 391-15-72,zubkoorysia@example.org
Цісик,Климент,Романович,чоловіча,2008-03-01,Клавішник,місто Устилуг,"вулиця Лип Івана та Юрія, буд. 8 кв. 751, Борислав, 96306",+380 38 002-79-80,zderhach@example.com
Байда,Мирон,Геннадійович,чоловіча,1969-03-17,Археолог,село Корюківка,"площа Путьова, буд. 30, Тисмениця, 97395",+380 73 351-49-57,petliuramykhailo@example.org
Лаба,Олег,Романович,чоловіча,1979-12-31,Краєзнавець,хутір Жовква,"проспект Ніжинська, буд. 2, Виноградів, 30809",240-27-97,olenamatviienko@example.net
Тягнибок,Алевтин,Сергійович,чоловіча,1971-03-29,Ді-джей,місто Соледар,"парк Нова, буд. 55, Попасна, 84275",+380 37 831-83-43,borysokhrymovych@example.net
Сіробаба,Софія,Олександрівна,жіноча,1946-07-27,Флорист,місто Липовець,"сквер Естонський, буд. 720 кв. 52, Вишгород, 31424",017 10 37,ydanko@example.com
Забашта,Лілія,Петрівна,жіноча,1994-07-25,Адвокат,хутір Городок,"проспект Краснослобідська, буд. 393, Сторожинець, 36457",+380 20 227-49-99,zhaliloiaroslav@example.net
Шухевич,Ігор,Романович,чоловіча,1975-06-26,Державний службовець,місто Ізмаїл,"набережна Новобазарний, буд. 5 кв. 943, Білгород-Дністровський, 41272",687-28-72,tytarenkobohuslav@example.com
Чорновіл,Василь,Олександрович,чоловіча,1987-11-15,Сантехнік,хутір Волочиськ,"площа Політкаторжан, буд. 90 кв. 280, Біляївка, 66819",+380 (20) 637-06-18,iaremakhorishko@example.org
Якименко,Сергій,Вікторович,чоловіча,1976-02-21,Прокурор,село Мостиська,"провулок Орловський, буд. 113, Вільнянськ, 80489",+380 31 008-33-98,odarka19@example.net
Свистун,Аркадій,Леонідович,чоловіча,1948-06-12,Єгер,хутір Одеса,"провулок Скидановська, буд. 0, Путивль, 74214",944 72 44,ihorsavenko@example.org
Лаба,Гліб,Андрійович,чоловіча,1945-04-23,Агроном,селище Бар,"шосе Пересипська 9-та, буд. 905 кв. 69, Кременчук, 27373",+380 40 241 72 37,tsheremeta@example.com
Пустовіт,Георгій,Дмитрович,чоловіча,2002-07-12,Сценарист,селище Красногорівка,"вулиця Басейний 3-й, буд. 695 кв. 897, Самбір, 41142",808-32-03,hvyshniak@example.org
Павлик,Єва,Олегівна,жіноча,1944-07-19,Електротехнік,селище Вугледар,"провулок Совіньйонівський, буд. 178, Щолкіне, 85845",+380 86 735-46-55,liudmyla84@example.org
Лагода,Демʼян,Сергійович,чоловіча,1947-08-11,Редактор,хутір Чугуїв,"провулок Рішельєвська, буд. 593, Кадіївка, 56449",+380 82 856-46-32,vashchenko-zakharchenkoiosyp@example.net
Юхименко,Ірена,Леонідівна,жіноча,1965-03-29,Електромонтажник,селище Верхівцеве,"набережна Лазурний 3-й, буд. 34, Полонне, 27910",091 580 40 49,candriienko@example.org
Адаменко,Теодор,Вікторович,чоловіча,1941-06-27,Різноробочий,хутір Нова Каховка,"сквер Єлісаветинська, буд. 4 кв. 8, Бахмач, 12828",891 80 18,trokhym50@example.org
Філіпенко,Опанас,Леонідович,чоловіча,1978-02-25,Правник,селище Тетіїв,"провулок Святослава Ріхтера, буд. 9, Винники, 99385",+380 (19) 326-43-61,nikoliukalla@example.org
Саченко,Ігнат,Романович,чоловіча,1990-12-05,Фольклорист,селище Радехів,"узвіз Зернова, буд. 5 кв. 058, Полонне, 99997",071 566 01 54,oleksadubas@example.com
Чайка,Віолетта,Дмитрівна,жіноча,1969-05-26,Пекар,хутір Довжанськ,"проспект Кондрашина, буд. 152 кв. 605, Монастириська, 91261",093 286 77 06,dashenkohryhorii@example.org
Масляк,Ярослав,Олександрович,чоловіча,2007-05-21,Промисловець,село Географія Вільнянська,"парк Лінія 51-ша, буд. 194, Карлівка, 34889",+380 68 849-96-83,prokhir22@example.com
Колісниченко,Симон,Павлович,чоловіча,1999-02-05,Електрик,місто Радивилів,"шосе 5-та Лінія Марії Демченко, буд. 2 кв. 76, Дубровиця, 95279",+380 01 825-87-75,viktoriia23@example.org
Теличенко,Віолетта,Андріївна,жіноча,1970-10-07,Соціолог,село Моршин,"набережна Садова 4-та, буд. 893 кв. 504, Молодогвардійськ, 50676",058 906-61-23,liliia67@example.com
Назаренко,Софія,Вікторівна,жіноча,1999-09-05,Палеонтолог,село Шаргород,"набережна Троїцького Миколи, буд. 4, Світловодськ, 51125",+380 (27) 585-46-45,bdakhno@example.org
Гуцуляк,Роман,Геннадійович,чоловіча,1965-01-10,Скульптор,селище Харків,"узвіз Амурський 3-й, буд. 73, Сулимівка (Слов'янськ), 04629",+380 61 051-39-11,solomiiaprytula@example.org
Голик,Марʼяна,Ігорівна,жіноча,1970-04-15,Льотчик,селище Антрацит ,"провулок Жолкова Бориса, буд. 54, Українка , 57236",+380 (26) 704-10-60,tkachherman@example.org
Жученко,Микита,Олександрович,чоловіча,1939-08-28,Євнух,хутір Тростянець,"вулиця Пересипська 10-та, буд. 7 кв. 02, Ватутіне, 85606",+380 60 250-45-88,iaroslavnalyvaiko@example.net
Вітрук,Софія,Юріївна,жіноча,2003-06-21,Вчитель,місто Дубно,"парк Генуезька, буд. 8 кв. 945, Луцьк, 99691",+380 31 400-75-83,lukian38@example.com
Їжакевич,Варфоломій,Михайлович,чоловіча,1952-05-18,Астрофізик,хутір Докучаєвськ,"проспект Лазурний 4-й, буд. 41 кв. 64, Тисмениця, 04813",+380 98 959-45-07,fshelest@example.com
Ґереґа,Левко,Леонідович,чоловіча,1963-01-28,Водій,село Чорноморськ,"узвіз Болгарська, буд. 373, Обухів, 89485",+380 94 726-86-85,gakulenko@example.com
Саченко,Дан,Романович,чоловіча,1944-10-12,Футболіст,село Балта,"сквер Гімназична, буд. 36 кв. 8, Мена , 56467",+380 43 843 06 90,kaleksandrenko@example.com
Данчук,Аліна,Василівна,жіноча,1944-01-24,Дерун,село Апостолове,"сквер Орловський, буд. 9 кв. 0, Кам'янка (Черкаська область), 54097",219-51-74,idutka@example.org
Давиденко,Пантелеймон,Васильович,чоловіча,1944-12-30,Складальник,селище Армянськ,"площа Ванцетті, буд. 5 кв. 291, Лохвиця, 04994",074 451 99 63,qkhomenko@example.net
Матвієнко,Руслан,Ігоревич,чоловіча,1984-09-13,Флорист,хутір Козятин,"провулок Пржевальського, буд. 7 кв. 5, Перемишляни, 18973",098 472 97 32,baranliza@example.com
Аверченко,Леонтій,Васильович,чоловіча,1964-08-04,Парфюмер,місто Чуднів,"парк 4-та Суворовська, буд. 9, Приморськ (Україна), 13713",045 85 03,ekhudiak@example.org
Дрозд,Ліза,Олександрівна,жіноча,1975-05-29,Патологоанатом,місто Макіївка,"сквер Хімічний 3-й, буд. 045 кв. 74, Слов'янськ, 23761",+380 59 111 72 80,adam28@example.org
Василечко,Хома,Юрійович,чоловіча,1974-08-15,Електромонтажник,селище Ковель,"площа Тінистий, буд. 29, Сокиряни, 40148",+380 53 668 40 33,demiandanko@example.org
Гук,Тетяна,Сергіївна,жіноча,2004-07-20,Підприємець,село Старобільськ,"площа Новосельского, буд. 7, Святогірськ, 24964",087 835-42-00,usemenchenko@example.com
Жук,Онисим,Леонідович,чоловіча,1975-04-05,Намотувальник,хутір Кіцмань,"парк Черепанових 2-й, буд. 553, Щолкіне, 97195",+380 86 559-62-84,hupalopetro@example.org
Дрозд,Левко,Артемович,чоловіча,1963-12-28,Кур'єр,селище Курахове,"шосе Моторний 1-й, буд. 19 кв. 238, Вараш, 43813",798 56 91,martynchaika@example.net
Атаманюк,Геннадій,Ігоревич,чоловіча,1983-07-14,Вчитель,хутір Христинівка,"провулок Васнецова, буд. 701 кв. 3, Бориспіль, 63203",+380 52 965-38-32,zverkhovynets@example.org
Батіг,Олесь,Олегович,чоловіча,1950-05-21,Менеджер,село Червоноград,"вулиця Каспійський, буд. 967 кв. 347, Чорноморськ, 29248",878 59 38,volodymyr05@example.org
Романчук,Алла,Олегівна,жіноча,1998-04-18,Мінералог,село Кривий Ріг,"набережна Наявний 2-й, буд. 9 кв. 4, Одеса, 02873",009 643 21 01,kshevchenko@example.net
Юрчук,Ярина,Федорівна,жіноча,1947-05-17,Графік,хутір Хмільник,"площа Садова 6-та, буд. 35 кв. 4, Кипуче, 37056",+380 76 899-19-28,priskaarkhymovych@example.org
Івасюк,Олександр,Вікторович,чоловіча,1974-02-11,Фрілансер,хутір Любомль,"шосе Удільний, буд. 8 кв. 16, Берестечко, 83912",091 705-25-09,andrii50@example.org
Андріїшин,Пилип,Петрович,чоловіча,1979-08-02,Стропальник,хутір Винники,"узвіз Рибальська, буд. 38 кв. 47, Географія Вільнянська, 66290",399 84 81,zakharmykytiuk@example.com
Вернидуб,Максим,Максимович,чоловіча,1954-03-11,Кінокритик,місто Чоп,"площа Урожайна, буд. 4 кв. 823, Березне, 07151",599-23-32,liubovzasukha@example.com
Зайченко,Данило,Федорович,чоловіча,1986-09-28,Музичний редактор,село Сокаль,"проспект Пассіонарії, буд. 0 кв. 7, Лисичанськ, 45058",+380 (11) 798-00-21,iustym02@example.net
Шеремет,Зорян,Дмитрович,чоловіча,2003-11-17,Громадський діяч,хутір Гребінка,"парк Глазунова, буд. 973 кв. 313, Бахчисарай, 55515",+380 45 707-98-94,vadymzaruba@example.net
Шовкопляс,Амвросій,Леонідович,чоловіча,1946-04-01,Електромонтер,село Кам'янка (Черкаська область),"провулок Академіка Богатського, буд. 43 кв. 4, Вишгород, 77275",520 06 73,zlatoslava93@example.net
Худобʼяк,Стефан,Леонідович,чоловіча,2007-04-12,Математик,селище Снігурівка,"сквер Отрадна, буд. 33, Свалява, 50985",018 041 33 24,ztykha@example.net
Макаренко,Симон,Юрійович,чоловіча,1991-05-16,Каскадер,селище Дніпро ,"площа Мінська, буд. 909, Одеса, 39116",+380 06 783 65 44,vasylyna88@example.com
Верес,Володимира,Павлівна,жіноча,1985-11-16,Лікар,хутір Енергодар,"вулиця Лінія 22-га, буд. 3, Чортків, 14283",+380 92 621-59-46,tvovk@example.org
Христенко,Онисим,Олександрович,чоловіча,2002-12-09,Модельєр,село Бориспіль,"сквер Головна, буд. 95, Зміїв, 44536",058 646 98 68,viacheslav36@example.net
Семенченко,Світлана,Павлівна,жіноча,1982-10-06,Штукатур,місто Богуслав,"вулиця Мельницька, буд. 5 кв. 2, Миколаїв, 32562",020 639 26 09,dandriichuk@example.org
Прокопович,Арсен,Михайлович,чоловіча,1967-01-21,Драматург,хутір Слов'янськ,"парк Контрадмірала Луніна, буд. 33, Волочиськ, 34770",+380 33 828 43 32,bohodar28@example.net
Шухевич,Камілла,Юріївна,жіноча,1954-07-27,Інженер,село Вашківці,"парк Станційна 1-ша, буд. 438 кв. 8, Красилів, 52024",+380 (08) 008-08-61,miakovenko@example.com
Дубенко,Данна,Дмитрівна,жіноча,1983-07-02,Клоун,місто Борзна,"проспект Польська, буд. 5 кв. 77, Алмазна, 21024",454-05-70,tiemets@example.net
Охріменко,Нестор,Юрійович,чоловіча,1948-09-17,Інженер,місто Миколаїв,"площа Бузковий, буд. 026, Новоселиця, 65401",581 39 07,halynabalaban@example.com
Ажажа,Демид,Максимович,чоловіча,1981-01-13,Стоматолог,село Чугуїв,"проспект Архітектурна, буд. 01 кв. 027, П'ятихатки, 09678",+380 23 727-51-92,leontii96@example.net
Сіробаба,Данна,Олегівна,жіноча,1948-01-21,М'ясник,хутір Гуляйполе,"набережна Косвена, буд. 149 кв. 52, Запоріжжя, 97191",634 28 73,medvedenkoiosyp@example.com
Бакуменко,Роман,Петрович,чоловіча,2005-02-22,Гірничий інженер,місто Ужгород,"узвіз Ювілейний 1-й, буд. 32, Федорівка, 47387",037 234-29-59,adam54@example.com
Устенко,Лукʼян,Сергійович,чоловіча,2002-04-30,Модельєр,місто Березівка,"шосе 4-та Лінія Марії Демченко, буд. 8 кв. 8, Іллінці, 34802",+380 (75) 004-21-90,adubyna@example.com
Архимович,Тарас,Геннадійович,чоловіча,1981-08-06,Професор,місто Кілія,"парк Український 2-й, буд. 8 кв. 418, Глухів, 52243",+380 (31) 969-29-60,okseniia44@example.net
Величко,Андрій,Михайлович,чоловіча,1999-08-15,Каскадер,місто Жовті Води,"провулок Ламаний, буд. 386 кв. 50, Дубно, 25228",419-34-92,barabashedyta@example.net
Ємець,Макар,Геннадійович,чоловіча,1965-03-13,Гицель,село Суходільськ,"шосе Бодаревського, буд. 05 кв. 7, Ржищів, 70608",+380 61 392-09-34,ytereshchenko@example.com
Доценко,Світлана,Андріївна,жіноча,1969-10-13,Хореограф,селище Володимир-Волинський,"площа Шухевича Романа, буд. 7, Теребовля, 76979",+380 56 590-74-92,klyment94@example.org
Філіпенко,Дан,Артемович,чоловіча,1988-09-29,Шериф,місто Молочанськ,"парк Качалова, буд. 454, Семенівка, 85002",034 353-84-11,bhodunok@example.org
Сомко,Гордій,Геннадійович,чоловіча,1974-12-30,Доцент,селище Білопілля,"провулок Іванівський переїзд, буд. 3, Самбір, 77966",+380 87 611-49-36,uasaula@example.org
Якименко,Миколай,Романович,чоловіча,2000-01-06,Електромонтажник,селище Угнів,"шосе Нова, буд. 69 кв. 10, Маріуполь, 33334",024 410 28 29,iatseniukillia@example.org
Пелех,Трохим,Дмитрович,чоловіча,1999-11-22,Астронавт,хутір Глобине,"проспект Трудова, буд. 2 кв. 2, Калуш, 42935",+380 51 285 60 68,illiausyk@example.org
